label,roll,pitch,yaw,gx,gy,gz,ax,ay,az,flex0,flex1,flex2,flex3,flex4,index_inside,middle_fingerprint,middle_inside_to_ring,ring_tape
D,-7.844387304803352,19.57896481190041,-0.9729738097085134,0.3441446512118755,0.5095859570126989,0.0204031378618914,-0.943359375,-0.176513671875,-0.03759765625,686,660,1023,1023,915,0,0,0,0
D,-7.855723046322859,19.60402359161004,-0.9740007048860164,-0.4115805396278191,-1.0476659513842477,0.0051359622893722,-0.9462890625,-0.1806640625,-0.043701171875,681,660,1023,1022,916,0,0,0,0
D,-7.869417916567176,19.63158175466861,-0.9821143898385414,-0.4268477152003382,-0.7117880887888277,-0.6284518239701695,-0.9326171875,-0.173095703125,-0.04541015625,683,662,1021,1022,918,0,0,0,0
D,-7.858048201664411,19.65212861277076,-0.9776065751860148,1.7410912160973715,-1.5514827452773774,0.4860519928237236,-0.922119140625,-0.195068359375,-0.03857421875,680,661,1022,1021,916,0,0,0,0
D,-7.8621494146806175,19.705066266511302,-0.9785003658952184,0.3136103000668373,1.715692827241707,0.4020825271748686,-0.944091796875,-0.183349609375,-0.024169921875,682,659,1023,1022,917,0,0,0,0
D,-7.862784790125417,19.74579522620036,-0.975363308947952,0.5349843458683641,0.4561508425088821,0.6158229851901358,-0.93896484375,-0.184326171875,-0.039306640625,685,659,1022,1021,915,0,0,0,0
D,-7.879103109994943,19.789906094691403,-0.981866793058358,-0.7169240510782009,0.9141661096844548,-0.239138846870933,-0.93115234375,-0.180419921875,-0.036376953125,680,662,1023,1021,919,0,0,0,0
D,-7.8841233581704815,19.82913071861368,-0.977804868138356,0.069335490906532,0.2958454989974318,0.6845252752664717,-0.951416015625,-0.186767578125,-0.06005859375,681,659,1023,1021,918,0,0,0,0
D,-7.882777099906256,19.86458652500876,-0.972696642999574,0.6494881626622572,-0.0934674781018048,0.7226932141977693,-0.934326171875,-0.178955078125,-0.0400390625,681,660,1023,1023,915,0,0,0,0
D,-7.88228658035645,19.90075828687268,-0.9756563390255152,0.8403278573187457,0.0821050409821646,-0.0177648010694062,-0.927734375,-0.177978515625,-0.045166015625,683,661,1023,1023,917,0,0,0,0
D,-7.883891446145014,19.932312093419903,-0.9796114295711096,0.7105568649523335,-0.3530094628346293,-0.155169381222078,-0.942626953125,-0.19384765625,-0.044677734375,681,658,1023,1023,918,0,0,0,0
D,-7.915304314590699,19.95903752028149,-0.99008368659971,-2.1062370281774374,-0.757589615506385,-0.8498258697716963,-0.9404296875,-0.177734375,-0.034912109375,682,661,1021,1023,917,0,0,0,0
D,-7.926927781867846,20.00094769724724,-0.99402360365983,-0.3505118373377429,0.6622577127378898,-0.0330319766419253,-0.931396484375,-0.175537109375,-0.03857421875,681,662,1023,1021,919,0,0,0,0
D,-7.920184636494452,20.037808812144423,-0.9950744542875092,1.4433812924332496,0.1355401554859814,0.1883420691596014,-0.930419921875,-0.190185546875,-0.048583984375,679,658,1022,1020,919,0,0,0,0
D,-7.93067372786509,20.056950189992392,-0.9935264555876736,-0.3276110739789641,-1.6430857987124918,0.2036092447321205,-0.92822265625,-0.20263671875,-0.0283203125,681,660,1023,1021,918,0,0,0,0
D,-7.945329073499867,20.10616201542046,-0.99071084634948,-0.8619622190171321,1.3034790867836914,0.7074260386252502,-0.94677734375,-0.18505859375,-0.03857421875,687,661,1021,1023,920,0,0,0,0
D,-7.951820733301509,20.145518631615072,-0.9809641323322568,-0.2970767228339259,0.2347767967073554,1.21124283251838,-0.926025390625,-0.1767578125,-0.048095703125,683,660,1023,1021,916,0,0,0,0
D,-7.96250344420578,20.169802158862964,-0.9795361202541,-0.4573820663453765,-1.1545361803918812,0.2188764203046396,-0.93994140625,-0.172119140625,-0.044189453125,683,659,1023,1023,920,0,0,0,0
D,-7.94120598368321,20.2204149107882,-0.9614383054449518,2.26780877334928,1.257677560066134,2.1730748935870823,-0.922607421875,-0.197509765625,-0.039794921875,678,665,1023,1023,915,0,0,0,0
D,-7.959553383310093,20.272301246871592,-0.9666007178307569,-0.9382980968797276,1.6775248883104088,0.0127695500756319,-0.93212890625,-0.1875,-0.03369140625,679,661,1023,1022,918,0,0,0,0
D,-7.963030605560103,20.31480802237099,-0.9569586991335144,-0.0070003869560634,0.5477538959439967,1.2417771836634182,-0.93310546875,-0.1748046875,-0.04833984375,680,658,1022,1021,917,0,0,0,0
D,-7.9620675360358675,20.353323281572585,-0.9478289112102954,0.4052133535019518,0.1508073310585004,1.1196397790832655,-0.9228515625,-0.159423828125,-0.04833984375,681,661,1023,1021,915,0,0,0,0
D,-7.954139739397694,20.39451811293533,-0.954830073185878,1.7258240405248526,0.6393569493791111,-0.3154747247335283,-0.9248046875,-0.17919921875,-0.01904296875,684,659,1023,1023,918,0,0,0,0
D,-7.967430171848638,20.441570473044404,-0.9679929601704392,-0.1596721426812541,1.3034790867836914,-0.7963907552678797,-0.935546875,-0.1865234375,-0.028564453125,679,658,1022,1022,917,0,0,0,0
D,-7.974678504729877,20.475899733184484,-0.9672818573494488,-0.0146339747423229,-0.1316354170331025,0.3257466493122731,-0.933349609375,-0.192626953125,-0.03515625,674,660,1019,1015,913,0,0,0,0
D,-7.975844716199985,20.512379686736143,-0.9561653259496944,0.1838393077004251,-0.0629331269567666,1.3028458859534946,-0.9375,-0.18017578125,-0.0439453125,680,660,1023,1023,918,0,0,0,0
D,-7.965797650950233,20.55662828390945,-0.9390690152205164,1.023533964188975,0.6164561860203326,1.9364336722130364,-0.92626953125,-0.158203125,-0.04638671875,680,658,1023,1023,916,0,0,0,0
D,-7.99125525351786,20.58601635186257,-0.95097565701744,-1.449748478559117,-0.4675132796285224,-0.9337953354205516,-0.929443359375,-0.17529296875,-0.045166015625,678,659,1017,1023,916,0,0,0,0
D,-7.995261407969689,20.61863227010216,-0.9568366266020024,0.4968164069370663,-0.2232384704682171,-0.323108312519788,-0.9296875,-0.17919921875,-0.043212890625,681,658,1023,1022,917,0,0,0,0
D,-7.976325166077156,20.67764747846265,-0.9477735380306104,2.298343124494318,2.204242445562317,1.4402504661061664,-0.941650390625,-0.19091796875,-0.04248046875,681,660,1023,1023,917,0,0,0,0
D,-7.984686629981083,20.727337349012974,-0.9514398284705412,-0.0146339747423229,1.4408836669363632,0.1196397790832655,-0.95068359375,-0.18408203125,-0.036376953125,678,660,1023,1018,916,0,0,0,0
D,-7.99369703472086,20.756717517545034,-0.9529159759300696,-0.1520385548949947,-0.5972842719949346,0.0433039012206701,-0.922119140625,-0.18017578125,-0.031494140625,680,660,1023,1023,916,0,0,0,0
D,-8.00289566041157,20.7905956834198,-0.9522367016148484,-0.2360080205438497,-0.1774369437506598,0.310479473739754,-0.918212890625,-0.182373046875,-0.033447265625,683,659,1023,1023,916,0,0,0,0
