label,roll,pitch,yaw,gx,gy,gz,ax,ay,az,flex0,flex1,flex2,flex3,flex4,index_inside,middle_fingerprint,middle_inside_to_ring,ring_tape 
A,-0.26582186087654375,0.5961513367621948,0.019956202344600323,-0.8655718187548147,-1.3214860984662788,0.5201694796554373,-0.89453125,-0.31103515625,0.0390625,760,1022,1021,1022,1022,1,0,0,0
A,-0.26820806581421774,0.6406728872011538,0.0316363408082134,0.9283213110161778,0.8540864206176905,1.1842916170600173,-0.8876953125,-0.29150390625,0.039794921875,758,1022,1022,1021,1023,1,0,0,0
A,-0.29903987904826274,0.6610704980015504,0.034027024405380246,-1.9190069332586315,-1.5581273198403247,0.24536031935009373,-0.9013671875,-0.29248046875,0.04052734375,757,1023,1022,1021,1022,1,0,0,0
A,-0.294472688008187,0.6806260466960511,0.03894817197209716,1.6458785629245747,-1.6344631977029203,0.49726871629665864,-0.88671875,-0.29541015625,0.04296875,749,1021,1021,1022,1021,1,0,0,0
A,-0.30721386999903244,0.6962930373147427,0.04335046946160225,-0.1098466279151199,-2.0314097625884164,0.4438336017928418,-0.89599609375,-0.29150390625,0.05615234375,751,1023,1021,1023,1021,1,0,0,0
A,-0.3257175451855722,0.705524800839648,0.04030803266727665,-0.6823657118845856,-2.672631136634218,-0.3042580012605933,-0.89892578125,-0.291015625,0.06103515625,756,1022,1023,1022,1023,1,0,0,0
A,-0.33594661569332385,0.7505198839387779,0.038737535529717426,0.2031304713215213,0.9227887106940263,-0.13631906996288334,-0.878173828125,-0.300537109375,0.05078125,752,1023,1022,1023,1023,1,0,0,0
A,-0.35076838467601146,0.7699371194784567,0.036165579026138546,-0.2777855592128299,-1.64209678548918,-0.25082288675677655,-0.9013671875,-0.302001953125,0.047119140625,756,1023,1023,1022,1021,1,0,0,0
A,-0.36878859675643977,0.7837260322169222,0.029962604941404576,-0.5831290706632115,-2.1993486938861264,-0.6172351004972345,-0.88623046875,-0.299560546875,0.050537109375,753,1023,1022,1021,1022,1,0,0,0
A,-0.36761486893168654,0.8153091721464876,0.037313578543670435,1.340535051474193,-0.42072273968765306,0.7491771132432234,-0.893310546875,-0.308349609375,0.04833984375,763,1022,1022,1021,1023,1,0,0,0
